name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,"runtime,,"
"Oh, God! You Devil",PG,Comedy,1984,"November 9, 1984 (United States)",5.4,2400,PAUL BOGART,Andrew Bergman,George Burns,UNITED STATES,0,21538850.0,Warner Bros.,"97.0,"
The Bay Boy,R,Drama,1984,"February 15, 1985 (United States)",6.3,653,DANIEL PETRIE,Daniel Petrie,Liv Ullmann,CANADA,0,162364.0,International Cinema Corporation (ICC),"107.0,"
Heavenly Bodies,R,Drama,1984,"February 1, 1985 (United States)",5.2,733,LAWRENCE DANE,Lawrence Dane,Cynthia Dale,CANADA,0,1839623.0,Producers Sales Organization (PSO),"90.0,"
Heartbreakers,R,Drama,1984,"September 28, 1984 (United States)",5.9,456,BOBBY ROTH,Bobby Roth,Peter Coyote,UNITED STATES,0,148750.0,Jethro Films Production,"98.0,"
Champions,PG,Biography,1984,"April 20, 1984 (United States)",6.5,586,JOHN IRVIN,Bob Champion,John Hurt,UNITED KINGDOM,0,200498.0,Archerwest,"106.0,"
A Sunday in the Country,G,Drama,1984,"April 11, 1984 (France)",7.6,2500,BERTRAND TAVERNIER,Pierre Bost,Louis Ducreux,FRANCE,0,2411143.0,Films A2,"90.0,"
Mass Appeal,PG,Drama,1984,"December 14, 1984 (United States)",6.6,952,GLENN JORDAN,Bill C. Davis,Jack Lemmon,UNITED STATES,0,1945658.0,David Foster Productions,"99.0,"
Windy City,R,Drama,1984,"January 1, 1986 (Uruguay)",5.8,262,ARMYAN BERNSTEIN,Armyan Bernstein,John Shea,UNITED STATES,0,343890.0,CBS Theatrical Films,"103.0,"
Weekend Pass,R,Comedy,1984,"February 3, 1984 (United States)",3.8,424,LAWRENCE BASSOFF,Lawrence Bassoff,Patrick Houser,UNITED STATES,0,21058033.0,Marimark Productions,"88.0,"
Over the Brooklyn Bridge,R,Comedy,1984,"March 2, 1984 (United States)",5.7,1400,MENAHEM GOLAN,Arnold Somkin,Elliott Gould,UNITED STATES,0,837914.0,City Films,"108.0,"
Almost You,R,Comedy,1984,"March 29, 1985 (United States)",5.1,216,ADAM BROOKS,Adam Brooks,Brooke Adams,UNITED STATES,1000000,95000.0,Almost You,"96.0,"
Petit Con,R,Comedy,1984,"April 19, 1985 (United States)",6.2,105,GÉRARD LAUZIER,Gérard Lauzier,Guy Marchand,FRANCE,0,127426.0,Gaumont International,"90.0,"
Weird Science,PG-13,Comedy,1985,"August 2, 1985 (United States)",6.6,83000,JOHN HUGHES,John Hughes,Anthony Michael Hall,UNITED STATES,7500000,38934048.0,Universal Pictures,"94.0,"
The Goonies,PG,Adventure,1985,"June 7, 1985 (United States)",7.8,252000,RICHARD DONNER,Chris Columbus,Sean Astin,UNITED STATES,19000000,63980721.0,Warner Bros.,"114.0,"
Back to the Future,PG,Adventure,1985,"July 3, 1985 (United States)",8.5,1100000,ROBERT ZEMECKIS,Robert Zemeckis,Michael J. Fox,UNITED STATES,19000000,381906762.0,Universal Pictures,"116.0,"
To Live and Die in L.A.,R,Action,1985,"November 1, 1985 (United States)",7.3,31000,WILLIAM FRIEDKIN,Gerald Petievich,William Petersen,UNITED STATES,6000000,17307019.0,SLM Production Group,"116.0,"
Clue,PG,Comedy,1985,"December 13, 1985 (United States)",7.3,88000,JONATHAN LYNN,John Landis,Eileen Brennan,UNITED STATES,15000000,14643997.0,Paramount Pictures,"94.0,"
The Breakfast Club,R,Comedy,1985,"February 15, 1985 (United States)",7.8,367000,JOHN HUGHES,John Hughes,Emilio Estevez,UNITED STATES,1000000,51525171.0,Universal Pictures,"97.0,"
Cocoon,PG-13,Comedy,1985,"June 21, 1985 (United States)",6.7,59000,RON HOWARD,Tom Benedek,Don Ameche,UNITED STATES,17500000,85313124.0,Twentieth Century Fox,"117.0,"
Rambo: First Blood Part II,R,Action,1985,"May 22, 1985 (United States)",6.5,159000,GEORGE P. COSMATOS,David Morrell,Sylvester Stallone,UNITED STATES,44000000,300400432.0,Estudios Churubusco Azteca S.A.,"96.0,"
Mask,PG-13,Biography,1985,"March 22, 1985 (United States)",7.2,27000,PETER BOGDANOVICH,Anna Hamilton Phelan,Cher,UNITED STATES,8000000,48230162.0,Universal Pictures,"120.0,"
Legend,PG,Adventure,1985,"April 18, 1986 (United States)",6.4,62000,RIDLEY SCOTT,William Hjortsberg,Tom Cruise,UNITED STATES,24500000,15502112.0,Legend Production Company,"94.0,"
The Return of the Living Dead,R,Comedy,1985,"August 16, 1985 (United States)",7.3,56000,DAN O'BANNON,Rudy Ricci,Clu Gulager,UNITED STATES,4000000,14237880.0,Cinema '84,"91.0,"
St. Elmo's Fire,R,Drama,1985,"June 28, 1985 (United States)",6.4,38000,JOEL SCHUMACHER,Joel Schumacher,Demi Moore,UNITED STATES,10000000,37803872.0,Columbia Pictures,"110.0,"
Brazil,R,Drama,1985,"December 18, 1985 (United States)",7.9,191000,TERRY GILLIAM,Terry Gilliam,Jonathan Pryce,UNITED KINGDOM,15000000,9949953.0,Embassy International Pictures,"132.0,"
Pale Rider,R,Drama,1985,"June 28, 1985 (United States)",7.3,55000,CLINT EASTWOOD,Michael Butler,Clint Eastwood,UNITED STATES,6900000,41410568.0,The Malpaso Company,"115.0,"
Teen Wolf,PG,Comedy,1985,"August 23, 1985 (United States)",6.1,48000,ROD DANIEL,Jeph Loeb,Michael J. Fox,UNITED STATES,0,33086611.0,Atlantic Entertainment Group,"91.0,"
Real Genius,PG,Comedy,1985,"August 7, 1985 (United States)",7.0,31000,MARTHA COOLIDGE,Neal Israel,Val Kilmer,UNITED STATES,8000000,12952019.0,Delphi III Productions,"108.0,"
Commando,R,Action,1985,"October 4, 1985 (United States)",6.7,150000,MARK L. LESTER,Jeph Loeb,Arnold Schwarzenegger,UNITED STATES,10000000,57491000.0,SLM Production Group,"90.0,"
Witness,R,Crime,1985,"February 8, 1985 (United States)",7.4,89000,PETER WEIR,William Kelley,Harrison Ford,UNITED STATES,12000000,68706993.0,Paramount Pictures,"112.0,"
The Color Purple,PG-13,Drama,1985,"February 7, 1986 (United States)",7.8,81000,STEVEN SPIELBERG,Menno Meyjes,Danny Glover,UNITED STATES,15000000,98467863.0,Amblin Entertainment,"154.0,"
Silverado,PG-13,Action,1985,"July 10, 1985 (United States)",7.2,40000,LAWRENCE KASDAN,Lawrence Kasdan,Kevin Kline,UNITED STATES,26000000,32192570.0,Columbia Pictures,"133.0,"
Rocky IV,PG,Drama,1985,"November 27, 1985 (United States)",6.9,192000,SYLVESTER STALLONE,Sylvester Stallone,Sylvester Stallone,UNITED STATES,30000000,300473716.0,United Artists,"91.0,"
Better Off Dead...,PG,Comedy,1985,"October 11, 1985 (United States)",7.1,42000,SAVAGE STEVE HOLLAND,Savage Steve Holland,John Cusack,UNITED STATES,0,10297601.0,A&M Films,"97.0,"
Ran,R,Action,1985,"June 1, 1985 (Japan)",8.2,117000,AKIRA KUROSAWA,Akira Kurosawa,Tatsuya Nakadai,JAPAN,11500000,4164283.0,Greenwich Film Productions,"162.0,"
Ladyhawke,PG-13,Adventure,1985,"April 12, 1985 (United States)",7.0,44000,RICHARD DONNER,Edward Khmara,Matthew Broderick,UNITED STATES,20000000,18432000.0,Twentieth Century Fox,"121.0,"
A Room with a View,Not Rated,Drama,1985,"April 11, 1986 (United Kingdom)",7.3,41000,JAMES IVORY,E.M. Forster,Maggie Smith,UNITED KINGDOM,3000000,21041453.0,Goldcrest Films International,"117.0,"
Red Sonja,PG-13,Action,1985,"July 3, 1985 (United States)",5.1,39000,RICHARD FLEISCHER,Robert E. Howard,Arnold Schwarzenegger,UNITED STATES,17900000,6951415.0,Dino De Laurentiis Company,"89.0,"
Fright Night,R,Fantasy,1985,"August 2, 1985 (United States)",7.1,63000,TOM HOLLAND,Tom Holland,Chris Sarandon,UNITED STATES,9000000,24922237.0,Columbia Pictures,"106.0,"
Explorers,PG,Adventure,1985,"July 12, 1985 (United States)",6.5,20000,JOE DANTE,Eric Luke,Ethan Hawke,UNITED STATES,25000000,9873044.0,Paramount Pictures,"109.0,"
Mad Max Beyond Thunderdome,PG-13,Action,1985,"July 10, 1985 (United States)",6.3,129000,GEORGE MILLER,Terry Hayes,Mel Gibson,AUSTRALIA,10000000,36230219.0,Kennedy Miller Productions,"107.0,"
After Hours,R,Comedy,1985,"October 11, 1985 (United States)",7.7,63000,MARTIN SCORSESE,Joseph Minion,Griffin Dunne,UNITED STATES,4500000,10609321.0,The Geffen Company,"97.0,"
A View to a Kill,PG,Action,1985,"May 24, 1985 (United States)",6.3,91000,JOHN GLEN,Richard Maibaum,Roger Moore,UNITED KINGDOM,30000000,50327960.0,Eon Productions,"131.0,"
Fletch,PG,Comedy,1985,"May 31, 1985 (United States)",6.9,49000,MICHAEL RITCHIE,Gregory McDonald,Chevy Chase,UNITED STATES,8000000,59612888.0,Universal Pictures,"98.0,"
Perfect,R,Drama,1985,"June 7, 1985 (United States)",4.5,4800,JAMES BRIDGES,Aaron Latham,John Travolta,UNITED STATES,19000000,12918858.0,Columbia Pictures,"115.0,"
A Nightmare on Elm Street 2: Freddy's Revenge,R,Horror,1985,"November 1, 1985 (United States)",5.5,63000,JACK SHOLDER,David Chaskin,Robert Englund,UNITED STATES,3000000,29999213.0,New Line Cinema,"87.0,"
Summer Rental,PG,Comedy,1985,"August 9, 1985 (United States)",6.3,15000,CARL REINER,Jeremy Stevens,John Candy,UNITED STATES,0,24689703.0,Paramount Pictures,"87.0,"
Lifeforce,R,Action,1985,"June 21, 1985 (United States)",6.2,24000,TOBE HOOPER,Colin Wilson,Steve Railsback,UNITED KINGDOM,25000000,11603545.0,Golan-Globus Productions,"101.0,"
Pee-wee's Big Adventure,PG,Adventure,1985,"August 9, 1985 (United States)",7.0,50000,TIM BURTON,Phil Hartman,Paul Reubens,UNITED STATES,6000000,40940662.0,Warner Bros.,"91.0,"
Out of Africa,PG,Biography,1985,"December 20, 1985 (United States)",7.2,75000,SYDNEY POLLACK,Karen Blixen,Meryl Streep,UNITED STATES,31000000,227514205.0,Mirage Enterprises,"161.0,"
Day of the Dead,Not Rated,Horror,1985,"July 19, 1985 (United States)",7.1,65000,GEORGE A. ROMERO,George A. Romero,Lori Cardille,UNITED STATES,3500000,5000000.0,United Film Distribution Company (UFDC),"101.0,"
Just One of the Guys,PG-13,Comedy,1985,"April 26, 1985 (United States)",6.5,15000,LISA GOTTLIEB,Dennis Feldman,Joyce Hyser,UNITED STATES,0,11528900.0,Columbia Pictures,"100.0,"
National Lampoon's European Vacation,PG-13,Adventure,1985,"July 26, 1985 (United States)",6.2,60000,AMY HECKERLING,John Hughes,Chevy Chase,UNITED STATES,17000000,49364621.0,National Lampoon,"95.0,"
Spies Like Us,PG,Adventure,1985,"December 6, 1985 (United States)",6.4,45000,JOHN LANDIS,Dan Aykroyd,Chevy Chase,UNITED STATES,22000000,60088980.0,Warner Bros.,"102.0,"
House,R,Comedy,1985,"February 28, 1986 (United States)",6.2,24000,STEVE MINER,Fred Dekker,William Katt,UNITED STATES,3000000,19444631.0,New World Pictures,"93.0,"
Police Academy 2: Their First Assignment,PG-13,Comedy,1985,"March 29, 1985 (United States)",5.8,53000,JERRY PARIS,Neal Israel,Steve Guttenberg,UNITED STATES,7600000,55600000.0,Warner Bros.,"87.0,"
The Black Cauldron,PG,Animation,1985,"July 24, 1985 (United States)",6.4,33000,TED BERMAN,Lloyd Alexander,Grant Bardsley,UNITED STATES,44000000,21288692.0,Walt Disney Pictures,"80.0,"
Friday the 13th: A New Beginning,R,Horror,1985,"March 22, 1985 (United States)",4.8,35000,DANNY STEINMANN,Martin Kitrosser,Melanie Kinnaman,UNITED STATES,2200000,21930418.0,Georgetown Productions Inc.,"92.0,"
Runaway Train,R,Action,1985,"January 17, 1986 (United States)",7.2,28000,ANDREY KONCHALOVSKIY,Djordje Milicevic,Jon Voight,UNITED STATES,9000000,7683620.0,Golan-Globus Productions,"111.0,"
Re-Animator,Unrated,Comedy,1985,"October 18, 1985 (United States)",7.2,59000,STUART GORDON,H.P. Lovecraft,Jeffrey Combs,UNITED STATES,900000,2023414.0,Empire Pictures,"104.0,"
Brewster's Millions,PG,Comedy,1985,"May 22, 1985 (United States)",6.5,36000,WALTER HILL,George Barr McCutcheon,Richard Pryor,UNITED STATES,20000000,45833132.0,Universal Pictures,"102.0,"
The Last Dragon,PG-13,Action,1985,"March 22, 1985 (United States)",6.9,13000,MICHAEL SCHULTZ,Louis Venosta,Taimak,UNITED STATES,10000000,25754284.0,Delphi III Productions,"109.0,"
The Legend of Billie Jean,PG-13,Action,1985,"July 19, 1985 (United States)",6.6,9200,MATTHEW ROBBINS,Mark Rosenthal,Helen Slater,UNITED STATES,0,3099497.0,Gomillion Studios,"96.0,"
Desperately Seeking Susan,PG-13,Comedy,1985,"April 12, 1985 (United States)",6.0,22000,SUSAN SEIDELMAN,Leora Barish,Rosanna Arquette,UNITED STATES,4500000,27398584.0,Orion Pictures,"104.0,"
Girls Just Want to Have Fun,PG,Comedy,1985,"April 12, 1985 (United States)",6.0,10000,ALAN METTER,Amy Spies,Biff Yeager,UNITED STATES,0,6326051.0,New World Pictures,"90.0,"
Vision Quest,R,Drama,1985,"February 15, 1985 (United States)",6.6,8100,HAROLD BECKER,Terry Davis,Matthew Modine,UNITED STATES,0,12993175.0,Warner Bros.,"107.0,"
Jagged Edge,R,Drama,1985,"October 4, 1985 (United States)",6.5,14000,RICHARD MARQUAND,Joe Eszterhas,Jeff Bridges,UNITED STATES,15000000,40491165.0,Columbia Pictures,"108.0,"
Enemy Mine,PG-13,Action,1985,"December 20, 1985 (United States)",6.9,45000,WOLFGANG PETERSEN,Barry Longyear,Dennis Quaid,UNITED STATES,40000000,12303411.0,Twentieth Century Fox,"108.0,"
Tuff Turf,R,Action,1985,"January 11, 1985 (United States)",6.1,4400,FRITZ KIERSCH,Jette Rinck,James Spader,UNITED STATES,0,9369329.0,New World Pictures,"112.0,"
Volunteers,R,Adventure,1985,"August 16, 1985 (United States)",5.5,8900,NICHOLAS MEYER,Keith Critchlow,Tom Hanks,UNITED STATES,0,19875740.0,HBO Pictures,"107.0,"
The Jewel of the Nile,PG,Action,1985,"December 11, 1985 (United States)",6.1,53000,LEWIS TEAGUE,Mark Rosenthal,Michael Douglas,UNITED STATES,25000000,96773200.0,SLM Production Group,"106.0,"
Once Bitten,PG-13,Comedy,1985,"November 15, 1985 (United States)",5.5,14000,HOWARD STORM,Dimitri Villard,Lauren Hutton,UNITED STATES,3200000,10000000.0,Night Life Inc.,"94.0,"
Private Resort,R,Comedy,1985,"May 3, 1985 (United States)",5.3,7900,GEORGE BOWERS,Gordon Mitchell,Rob Morrow,UNITED STATES,0,331816.0,Delphi III Productions,"82.0,"
Police Story,PG-13,Action,1985,"December 14, 1985 (Hong Kong)",7.6,31000,JACKIE CHAN,Jackie Chan,Jackie Chan,HONG KONG,0,113164.0,Golden Way Films Ltd.,"100.0,"
Into the Night,R,Action,1985,"February 22, 1985 (United States)",6.5,11000,JOHN LANDIS,Ron Koslow,Jeff Goldblum,UNITED STATES,8000000,7562164.0,Universal Pictures,"115.0,"
The Sure Thing,PG-13,Comedy,1985,"March 1, 1985 (United States)",7.0,20000,ROB REINER,Steve Bloom,John Cusack,UNITED STATES,4500000,18135531.0,Embassy Pictures,"95.0,"
White Nights,PG-13,Drama,1985,"December 6, 1985 (United States)",6.7,6900,TAYLOR HACKFORD,James Goldman,Mikhail Baryshnikov,UNITED STATES,20000000,42160849.0,Columbia Pictures,"136.0,"
Mischief,R,Comedy,1985,"February 8, 1985 (United States)",6.5,5900,MEL DAMSKI,Noel Black,Doug McKeon,UNITED STATES,0,8692426.0,Twentieth Century Fox,"97.0,"
Silver Bullet,R,Horror,1985,"October 11, 1985 (United States)",6.4,25000,DANIEL ATTIAS,Stephen King,Gary Busey,UNITED STATES,7000000,12361866.0,Dino De Laurentiis Company,"95.0,"
Kiss of the Spider Woman,R,Drama,1985,"July 26, 1985 (United States)",7.4,15000,HECTOR BABENCO,Manuel Puig,William Hurt,BRAZIL,0,17009654.0,HB Filmes,"120.0,"
My Beautiful Laundrette,R,Comedy,1985,"April 4, 1986 (United States)",6.9,15000,STEPHEN FREARS,Hanif Kureishi,Saeed Jaffrey,UNITED KINGDOM,0,2455535.0,Working Title Films,"97.0,"
Young Sherlock Holmes,PG-13,Adventure,1985,"December 4, 1985 (United States)",6.8,20000,BARRY LEVINSON,Arthur Conan Doyle,Nicholas Rowe,UNITED STATES,18000000,19739575.0,Amblin Entertainment,"109.0,"
Smooth Talk,PG-13,Drama,1985,"November 15, 1985 (United States)",6.5,2200,JOYCE CHOPRA,Joyce Carol Oates,Treat Williams,UNITED KINGDOM,2400000,16785.0,American Playhouse,"92.0,"
Porky's Revenge,R,Comedy,1985,"March 22, 1985 (United States)",4.8,8100,JAMES KOMACK,Bob Clark,Dan Monahan,UNITED STATES,9000000,20518905.0,Melvin Simon Productions,"92.0,"
Year of the Dragon,R,Action,1985,"August 16, 1985 (United States)",6.9,14000,MICHAEL CIMINO,Robert Daley,Mickey Rourke,UNITED STATES,24000000,18707466.0,Dino De Laurentiis Company,"134.0,"
Prizzi's Honor,R,Comedy,1985,"June 14, 1985 (United States)",6.7,23000,JOHN HUSTON,Richard Condon,Jack Nicholson,UNITED STATES,0,26657534.0,ABC Motion Pictures,"130.0,"
The Quiet Earth,R,Drama,1985,"October 18, 1985 (United States)",6.8,25000,GEOFF MURPHY,Craig Harrison,Bruno Lawrence,NEW ZEALAND,1000000,2123135.0,Cinepro,"91.0,"
Tampopo,Not Rated,Comedy,1985,September 1987 (United States),8.0,17000,JÛZÔ ITAMI,Jûzô Itami,Ken Watanabe,JAPAN,0,444213.0,Itami Productions,"114.0,,"
Secret Admirer,R,Comedy,1985,"June 14, 1985 (United States)",6.6,6600,DAVID GREENWALT,Jim Kouf,C. Thomas Howell,UNITED STATES,0,8622757.0,Orion Pictures,"90.0,"
"No Retreat, No Surrender",PG,Action,1985,"May 2, 1986 (United States)",5.7,16000,COREY YUEN,See-Yuen Ng,Kurt McKinney,UNITED STATES,0,4662137.0,Seasonal Film Corporation,"85.0,"
D.A.R.Y.L.,PG,Family,1985,"June 14, 1985 (United States)",6.3,12000,SIMON WINCER,David Ambrose,Mary Beth Hurt,UNITED KINGDOM,0,7840873.0,Paramount Pictures,"99.0,"
Mishima: A Life in Four Chapters,R,Biography,1985,"September 20, 1985 (United States)",8.0,10000,PAUL SCHRADER,Paul Schrader,Ken Ogata,UNITED STATES,5000000,569996.0,Zoetrope Studios,"120.0,"
A Chorus Line,PG-13,Drama,1985,"December 20, 1985 (United States)",6.2,9300,RICHARD ATTENBOROUGH,Arnold Schulman,Michael Douglas,UNITED STATES,27000000,14202899.0,Embassy Pictures,"113.0,"
Cat's Eye,PG-13,Comedy,1985,"April 12, 1985 (United States)",6.3,23000,LEWIS TEAGUE,Stephen King,Drew Barrymore,UNITED STATES,7000000,13086298.0,Dino De Laurentiis Company,"94.0,"
Murphy's Romance,PG-13,Comedy,1985,"January 31, 1986 (United States)",7.0,5600,MARTIN RITT,Max Schott,Sally Field,UNITED STATES,13000000,30867525.0,Columbia Pictures,"107.0,"
Heaven Help Us,R,Comedy,1985,"February 8, 1985 (United States)",6.9,4100,MICHAEL DINNER,Charles Purpura,Donald Sutherland,UNITED STATES,0,6070794.0,HBO Pictures,"104.0,"
American Flyers,PG-13,Drama,1985,"August 16, 1985 (United States)",6.5,5700,JOHN BADHAM,Steve Tesich,Kevin Costner,UNITED STATES,0,1420355.0,WW Production,"113.0,"
The Journey of Natty Gann,PG,Adventure,1985,"September 27, 1985 (United States)",7.0,5600,JEREMY KAGAN,Jeanne Rosenberg,Meredith Salenger,UNITED STATES,0,9708373.0,Walt Disney Pictures,"101.0,"
Trouble in Mind,R,Comedy,1985,March 1986 (United States),6.5,1800,ALAN RUDOLPH,Alan Rudolph,Kris Kristofferson,UNITED STATES,0,19632.0,Pfeiffer/Blocker Production,"111.0,,"
Fandango,PG,Comedy,1985,"January 25, 1985 (United States)",6.7,7500,KEVIN REYNOLDS,Kevin Reynolds,Kevin Costner,UNITED STATES,7000000,91666.0,Warner Bros.,"91.0,"
Gotcha!,PG-13,Action,1985,"May 3, 1985 (United States)",6.2,7000,JEFF KANEW,Paul G. Hensler,Anthony Edwards,UNITED STATES,0,10806919.0,Universal Pictures,"101.0,"
Death Wish 3,R,Action,1985,"November 1, 1985 (United States)",5.9,14000,MICHAEL WINNER,Don Jakoby,Charles Bronson,UNITED STATES,9000000,16116878.0,The Cannon Group,"92.0,"
King Solomon's Mines,PG-13,Action,1985,"November 22, 1985 (United States)",5.2,13000,J. LEE THOMPSON,H. Rider Haggard,Richard Chamberlain,UNITED STATES,12500000,15057465.0,The Cannon Group,"100.0,"
American Warrior,R,Action,1985,"August 30, 1985 (United States)",5.5,14000,SAM FIRSTENBERG,Paul De Mielche,Michael Dudikoff,UNITED STATES,1000000,10499694.0,The Cannon Group,"95.0,"
The Emerald Forest,R,Action,1985,"July 3, 1985 (United States)",6.9,9600,JOHN BOORMAN,Rospo Pallenberg,Powers Boothe,UNITED KINGDOM,0,24468550.0,Christel Films,"114.0,"
The Holcroft Covenant,R,Action,1985,"October 18, 1985 (United States)",5.7,3100,JOHN FRANKENHEIMER,Robert Ludlum,Michael Caine,UNITED KINGDOM,0,393825.0,Edie & Ely Landau Inc.,"112.0,"
The Falcon and the Snowman,R,Biography,1985,"February 8, 1985 (United States)",6.8,11000,JOHN SCHLESINGER,Robert Lindsey,Timothy Hutton,UNITED KINGDOM,12000000,17130087.0,Hemdale,"131.0,"
Transylvania 6-5000,PG,Comedy,1985,"November 8, 1985 (United States)",5.0,6900,RUDY DE LUCA,Rudy De Luca,Jeff Goldblum,YUGOSLAVIA,3000000,7196872.0,Balcor Film Investors,"93.0,"
Desert Hearts,R,Drama,1985,"March 7, 1986 (United States)",7.0,5500,DONNA DEITCH,Jane Rule,Helen Shaver,UNITED STATES,1250000,2492088.0,Desert Hearts Productions,"91.0,"
The Heavenly Kid,PG-13,Comedy,1985,"July 26, 1985 (United States)",6.3,4600,CARY MEDOWAY,Cary Medoway,Lewis Smith,UNITED STATES,0,3852271.0,Engelberg-Sumner-Cheikes,"90.0,"
The Purple Rose of Cairo,PG,Comedy,1985,"April 19, 1985 (United States)",7.7,48000,WOODY ALLEN,Woody Allen,Mia Farrow,UNITED STATES,15000000,10631333.0,Jack Rollins & Charles H. Joffe Productions,"82.0,"
The Man with One Red Shoe,PG,Comedy,1985,"July 19, 1985 (United States)",5.7,15000,STAN DRAGOTI,Francis Veber,Tom Hanks,UNITED STATES,16000000,8645411.0,Twentieth Century Fox,"92.0,"
My Life as a Dog,Unrated,Drama,1985,"May 1, 1987 (United States)",7.6,19000,LASSE HALLSTRÖM,Reidar Jönsson,Anton Glanzelius,SWEDEN,0,8349284.0,Svensk Filmindustri (SF),"101.0,"
My Science Project,PG,Action,1985,"August 9, 1985 (United States)",6.0,5500,JONATHAN R. BETUEL,Jonathan R. Betuel,John Stockwell,UNITED STATES,0,4122748.0,Touchstone Pictures,"94.0,"
Fraternity Vacation,R,Comedy,1985,"April 12, 1985 (United States)",5.3,2200,JAMES FRAWLEY,Lindsay Harrison,Stephen Geoffreys,UNITED STATES,0,3333306.0,New World Pictures,"94.0,"
The New Kids,R,Crime,1985,"January 18, 1985 (United States)",6.1,2900,SEAN S. CUNNINGHAM,Stephen Gyllenhaal,Shannon Presby,UNITED STATES,0,199108.0,Columbia Pictures,"110.0,"
Tomboy,R,Comedy,1985,"November 14, 1985 (West Germany)",4.7,1400,HERB FREED,Ben Zelig,Betsy Russell,UNITED STATES,0,14100000.0,Marimark Productions,"91.0,"
Invasion U.S.A.,R,Action,1985,"September 27, 1985 (United States)",5.5,9200,JOSEPH ZITO,James Bruner,Chuck Norris,UNITED STATES,10000000,17536256.0,Cannon Films,"107.0,"
Revolution,PG,Adventure,1985,"December 25, 1985 (United States)",5.3,6500,HUGH HUDSON,Robert Dillon,Al Pacino,UNITED KINGDOM,28000000,358574.0,Goldcrest Films International,"126.0,"
Lost in America,R,Comedy,1985,"February 8, 1985 (United States)",7.0,8200,ALBERT BROOKS,Albert Brooks,Albert Brooks,UNITED STATES,0,10179000.0,The Geffen Company,"91.0,"
Subway,R,Thriller,1985,"November 6, 1985 (United States)",6.6,14000,LUC BESSON,Luc Besson,Christopher Lambert,FRANCE,0,390659.0,Les Films du Loup,"104.0,"
Moving Violations,PG-13,Comedy,1985,"April 19, 1985 (United States)",5.7,3800,NEAL ISRAEL,Neal Israel,John Murray,UNITED STATES,0,10627754.0,SLM Production Group,"90.0,"
Nomads,R,Horror,1985,"March 7, 1986 (United States)",5.3,4000,JOHN MCTIERNAN,John McTiernan,Lesley-Anne Down,UNITED STATES,0,2278264.0,Cinema VII,"91.0,"
Fool for Love,R,Drama,1985,"May 14, 1986 (France)",6.1,2400,ROBERT ALTMAN,Sam Shepard,Sam Shepard,UNITED STATES,0,836156.0,Cinema '84,"106.0,"
Baby: Secret of the Lost Legend,PG,Adventure,1985,"March 22, 1985 (United States)",5.1,3100,BILL NORTON,Clifford Green,William Katt,UNITED STATES,0,14972297.0,Silver Screen Partners II,"95.0,"
Code of Silence,R,Action,1985,"May 3, 1985 (United States)",6.1,7300,ANDREW DAVIS,Michael Butler,Chuck Norris,UNITED STATES,7000000,20345361.0,Orion Pictures,"101.0,"
Crimewave,PG-13,Comedy,1985,"April 25, 1986 (United States)",5.7,5300,SAM RAIMI,Ethan Coen,Louise Lasser,UNITED STATES,3000000,5101.0,Columbia Pictures,"83.0,"
Gymkata,R,Action,1985,"May 3, 1985 (United States)",4.4,3900,ROBERT CLOUSE,Charles Robert Carner,Kurt Thomas,UNITED STATES,0,5730596.0,Metro-Goldwyn-Mayer (MGM),"90.0,"
Sweet Dreams,PG-13,Biography,1985,"October 11, 1985 (United States)",7.1,4400,KAREL REISZ,Robert Getchell,Jessica Lange,UNITED STATES,0,9085049.0,HBO Pictures,"115.0,"
The Slugger's Wife,PG-13,Comedy,1985,"March 29, 1985 (United States)",4.5,1000,HAL ASHBY,Neil Simon,Michael O'Keefe,UNITED STATES,0,1878561.0,Rastar Films,"105.0,"
Avenging Angel,R,Action,1985,"January 11, 1985 (United States)",4.8,1400,ROBERT VINCENT O'NEIL,Robert Vincent O'Neil,Betsy Russell,UNITED STATES,0,5622787.0,Avenging Venture,"93.0,"
Santa Claus: The Movie,PG,Adventure,1985,"November 27, 1985 (United States)",6.3,12000,JEANNOT SZWARC,David Newman,Dudley Moore,UNITED KINGDOM,50000000,23717291.0,GGG,"107.0,"
That Was Then... This Is Now,R,Crime,1985,"November 8, 1985 (United States)",6.2,2200,CHRISTOPHER CAIN,S.E. Hinton,Emilio Estevez,UNITED STATES,0,8630068.0,Media Ventures,"102.0,"
Agnes of God,PG-13,Drama,1985,"September 27, 1985 (United States)",6.6,6900,NORMAN JEWISON,John Pielmeier,Jane Fonda,UNITED STATES,10000000,25627836.0,Columbia Pictures,"98.0,"
Rustlers' Rhapsody,PG,Comedy,1985,"May 10, 1985 (United States)",6.5,2100,HUGH WILSON,Hugh Wilson,Tom Berenger,UNITED STATES,0,6090497.0,Paramount Pictures,"88.0,"
The Adventures of Mark Twain,G,Animation,1985,"July 26, 1985 (United States)",7.4,2700,WILL VINTON,Susan Shadburne,James Whitmore,UNITED STATES,0,849915.0,Atlantic,"86.0,"
Stick,R,Action,1985,"April 26, 1985 (United States)",5.7,1900,BURT REYNOLDS,Elmore Leonard,Burt Reynolds,UNITED STATES,22000000,8489518.0,Universal Pictures,"109.0,"
